year,sequence_in_year,n1,n2,n3,n4,n5,n6
2023,73,7,13,14,22,25,27
2023,74,1,9,12,19,23,25
2023,75,2,10,13,19,26,31
2023,76,2,16,24,31,36,38
2023,77,2,3,5,8,14,17
2023,78,3,5,30,32,40,41
2023,79,19,23,25,31,34,42
2023,80,10,18,24,30,35,36
2023,81,2,5,14,17,38,41
2023,82,7,11,20,23,32,37
2023,83,18,27,30,34,36,39
2023,84,8,15,24,27,29,41
2023,85,13,14,15,17,23,28
2023,86,5,7,16,29,36,38
2023,87,4,22,26,30,34,37
2023,88,4,5,8,28,39,40
2023,89,13,27,29,32,35,42
2023,90,6,13,16,19,23,32
2023,91,3,8,14,38,39,41
2023,92,13,20,26,39,40,41
2023,93,12,18,20,21,26,30
2023,94,4,8,13,16,29,36
2023,95,4,7,8,29,31,41
2023,96,7,13,14,22,25,27
2023,97,1,9,12,19,23,25
2023,98,2,10,13,19,26,31
2023,99,2,16,24,31,36,38
2023,100,2,3,5,8,14,17
2023,101,3,5,30,32,40,41
2023,102,19,23,25,31,34,42
2023,103,10,18,24,30,35,36
2023,104,2,5,14,17,38,41
2023,105,7,11,20,23,32,37
2023,106,18,27,30,34,36,39
2023,107,8,15,24,27,29,41
2023,108,13,14,15,17,23,28
2023,109,5,7,16,29,36,38
2023,110,4,22,26,30,34,37
2023,111,4,5,8,28,39,40
2023,112,13,27,29,32,35,42
2023,113,6,13,16,19,23,32
2023,114,3,8,14,38,39,41
2023,115,13,20,26,39,40,41
2023,116,12,18,20,21,26,30
2023,117,4,8,13,16,29,36
2023,118,10,16,28,30,31,35
2023,119,6,10,11,28,34,42
2023,120,9,17,18,26,35,38
2023,121,11,28,29,32,37,40
2023,122,6,10,14,31,40,41
2023,123,3,4,21,27,29,35
2023,124,1,24,25,26,28,37
2023,125,1,23,31,32,38,40
2023,126,1,4,5,16,27,31
2023,127,4,8,14,16,26,33
2023,128,6,19,35,36,40,42
